id,question,answer
1,三体文明与地球建立联系的核心事件在《三体》三部曲中的时间线是如何跨越危机预警、技术锁死到星际逃亡阶段的？,在《三体》三部曲中，三体文明与地球建立联系的核心事件——即“三体危机”的爆发，是贯穿整个系列的重要转折点。这个事件跨越了从**危机预警**、**技术锁死**到**星际逃亡**等多个阶段，构成了整个三体故事的时间线主线。

---

### 一、危机预警（《三体Ⅰ：地球往事》）

#### 背景设定：
- **时间线起点**：1960年代末至1970年代初（文革时期）。
- **关键人物**：叶文洁（中国物理学家的女儿）、杨冬（理论物理学家，自杀）、汪淼（纳米材料科学家，主角之一）等。

#### 核心事件：
- **叶文洁的背叛与发送信号**：
  - 叶文洁在红岸基地工作期间，目睹了人类社会的堕落和科技的无意义滥用（如《寂静的春天》对环境破坏的描述），并受到“科学边界”组织思想的影响，认为人类文明无法自省，唯有借助外力才能改变。
  - 她最终向宇宙发送了信号，希望寻找一个能超越人类道德困境的文明来拯救地球。
  - 这个信号被三体文明接收到，并引发了他们的注意。

- **三体文明的出现**：
  - 三体世界是一个拥有三个太阳的行星系统，气候极端不稳定，文明经历了多次毁灭与重生。
  - 他们通过“智子”（高维展开的质子）锁死了地球的基础科学研究，防止人类发展出足以威胁三体文明的技术（如核聚变、可控核聚变、量子计算等）。
  - 同时，三体人通过“面壁者计划”和“黑暗森林威慑”逐步控制地球，为入侵做准备。

#### 结果：
- 地球人类首次意识到三体文明的存在，但尚未完全理解其意图。
- 汪淼等人开始接触“科学边界”组织，发现宇宙规律的异常（如“射手假说”、“农场主假说”），并逐渐察觉到三体文明的威胁。
- 三体文明通过“智子”监视地球，并试图阻止人类科技的发展。

---

### 二、技术锁死（《三体Ⅱ：黑暗森林》）

#### 时间背景：
- 20世纪末至21世纪初，人类科技飞速发展，但由于“智子”的干扰，基础科学研究陷入停滞。
- 三体文明已派出舰队前往地球，但因距离遥远（4光年），预计要400年后才到达。

#### 核心事件：
- **智子的封锁**：
  - “智子”是一种来自三体文明的高维展开质子，具有强大的信息处理能力和干扰能力。
  - 它们嵌入地球的科研设施中，使得人类无法突破基础科学瓶颈，尤其是粒子物理、量子力学等方向。
  - 这导致人类在面对三体文明时处于极度劣势。

- **面壁者计划**：
  - 为了应对三体文明的威胁，联合国启动了“面壁者计划”，任命四位“面壁者”来制定对抗策略。
  - 其中包括罗辑（最终成为“黑暗森林威慑”的提出者）和程心（后来成为执剑人）。

- **黑暗森林法则的揭示**：
  - 罗辑通过研究“宇宙闪烁”现象，提出了“黑暗森林法则”——宇宙中的文明如同猎人，在黑暗中彼此猜疑，一旦发现对方存在，就会立即消灭。
  - 这一理论成为人类抵抗三体文明的关键武器。

- **威慑纪元的建立**：
  - 罗辑利用“黑暗森林威慑”原理，以一颗恒星级别的炸弹作为威慑手段，迫使三体文明停止进攻。
  - 三体人被迫与人类签订“黑暗森林威慑协议”，暂时维持和平。

#### 结果：
- 人类进入“威慑纪元”，三体文明暂时停止对地球的攻击。
